iter	Passed	Remaining
0	1	189
1	3	184
2	5	180
3	7	170
4	8	162
5	10	160
6	11	158
7	13	160
8	15	161
9	17	161
10	19	160
11	21	158
12	23	156
13	25	155
14	27	153
15	28	151
16	30	150
17	32	148
18	34	147
19	36	146
20	38	143
21	39	141
22	41	139
23	43	137
24	45	136
25	47	134
26	49	133
27	51	131
28	52	129
29	54	128
30	56	126
31	58	124
32	60	122
33	62	120
34	64	119
35	65	117
36	67	115
37	69	113
38	71	111
39	73	110
40	75	108
41	75	104
42	77	102
43	79	101
44	81	99
45	83	97
46	85	96
47	87	94
48	88	92
49	90	90
50	92	88
51	94	87
52	96	85
53	98	83
54	99	81
55	101	79
56	103	78
57	104	76
58	106	74
59	108	72
60	110	70
61	112	68
62	114	67
63	116	65
64	118	63
65	120	62
66	122	60
67	123	58
68	125	56
69	126	54
70	128	52
71	130	50
72	132	48
73	134	47
74	135	45
75	137	43
76	139	41
77	140	39
78	142	37
79	144	36
80	145	34
81	147	32
82	149	30
83	150	28
84	152	26
85	154	25
86	155	23
87	157	21
88	159	19
89	160	17
90	162	16
91	164	14
92	165	12
93	167	10
94	168	8
95	170	7
96	171	5
97	173	3
98	175	1
99	176	0
